,marca,modelo,anio,carroceria,traccion,combustible,transmision,asientos,color,kilometraje,verificacion,precio
777,hyundai,eon,2019-01-01,hatchback,4x2,gasolina,manual,tela,amarillo,294000,,5000
778,honda,civic,2013-01-01,coupe,4x2,gasolina,manual,tela,rojo,87500,,9000
779,hyundai,accent,2010-01-01,sedan,4x2,gasolina,manual,tela,blanco,141890,,3300
780,suzuki,swift dzire,2020-01-01,sedan,4x2,gasolina,automatica,tela,blanco,61280,,8990
781,audi,q5,2012-01-01,suv,4x2,gasolina,automatica,cuerro,gris,154000,,6500
782,toyota,corolla se,2019-01-01,sedan,4x2,gasolina,automatica,cuero,azul marino,78000,95.0,17500
783,nissan,navara,2015-01-01,pickup,4x4,diesel,automatica,cuero,gris plata,360000,,14000
784,hyundai,i20-active,2017-01-01,suv,4x2,gasolina,manual,algodon,gris raton,114000,,7500
785,nissan,x-trail,2013-01-01,suv,4x2,gasolina,automatica,tela,negro,190000,,6500
786,kia,rio,2016-01-01,sedan,4x2,gasolina,automatica,tela,gris,96000,,6900
787,kia,rio,2018-01-01,sedan,4x2,gasolina,automatica,tela,azul,120000,,8999
788,kia,cerato,2015-01-01,sedan,4x2,gasolina,automatica,tela,negro,170000,,7700
789,bmw,218i gran coupi¿½,2020-01-01,coupe,4x2,gasolina,automatica,cuero,blanco,42000,,22000
790,honda,civic,2016-01-01,sedan,4x2,gasolina,automatica,tela,crema,140000,,9999
791,mini,cooper,2020-01-01,hatchback,4x2,gasolina,automatica,cuero suave,negro,30500,,19250
792,mercedes-benz,-benz -benz amg gle 63s coupe,2016-01-01,suv,4x4,gasolina,automatica,cuero,gris,48000,92.0,85000
793,subaru,xv,2017-01-01,suv,4x4,gasolina,automatica,cuero,azul,69000,,13300
794,suzuki,ciaz,2020-01-01,sedan,4x2,gasolina,automatica,tela,gris,85000,,8500
795,hyundai,tucson,2016-01-01,pickup,4x2,gasolina,automatica,tela,gris,65000,,10500
796,tesla,model x,2022-01-01,suv,4x4,electrico,automatica,cuero,midnight silver metallic,6200,95.0,89000
797,nissan,x-trail,2023-01-01,suv,4x2,gasolina,automatica,tela,plateado,43000,,26500
798,renault,captur,2018-01-01,suv,4x2,gasolina,automatica,tela,blanco,98200,,6900
799,bmw,318i,2017-01-01,sedan,4x2,gasolina,automatica,cuero,gris,75000,,13900
800,tesla,model 3,2018-01-01,sedan,4x4,electrico,automatica,cuero vegano,red multi-coat,44000,93.0,55000
801,honda,crv,2021-01-01,suv,4x2,gasolina,automatica,tela,rojo,72000,,23100
802,audi,q3,2012-01-01,suv,4x4,gasolina,automatica,cuero,gris,69602,,8300
803,hyundai,accent,2016-01-01,sedan,4x2,gasolina,manual,tela,plateado,107413,,6800
804,toyota,corolla,2021-01-01,sedan,4x2,gasolina,automatica,tela,rojo,52000,,16500
805,nissan,x-trail,2015-01-01,suv,4x2,gasolina,automatica,asientos de tela con forros de cuerinq,negro,114169,,8500
806,mazda,cx-9,2016-01-01,suv,4x4,gasolina,automatica,cuero,gris plateado,94918,,12950
807,hyundai,tucson gls,2022-01-01,suv,4x2,gasolina,automatica,cuero,bronze,49000,,28000
808,toyota,land cruiser,2023-01-01,suv,4x4,diesel,manual,cuero,gris,3417,100.0,70000
809,nissan,rogue,2015-01-01,suv,4x2,gasolina,automatica,tela,plateado,150000,,8500
810,acura,tlx,2016-01-01,sedan,4x2,gasolina,automatica,cuero,gris,38111,,17500
811,mercedes-benz,-benz gle 400,2016-01-01,suv,4x4,gasolina,automatica,cuero,blanco,67000,,20000
812,hyundai,grand i10,2020-01-01,sedan,4x2,gasolina,automatica,tela,gris raton,45000,,10000
813,bmw,650i,2012-01-01,convertible,4x2,gasolina,automatica,cuero,negro con interior chocolate cinnamon,52000,,15000
814,mercedes-benz,glc 200,2020-01-01,suv,4x2,gasolina,automatica,cuero,negro,48000,,34000
815,toyota,land cruiser prado,2012-01-01,suv,4x2,gasolina,automatica,cuero,blanco,120000,,22500
816,hyundai,eon,2019-01-01,hatchback,4x2,gasolina,manual,tela,amarillo,294000,,5000
817,honda,civic,2013-01-01,coupe,4x2,gasolina,manual,tela,rojo,87500,,9000
818,hyundai,accent,2010-01-01,sedan,4x2,gasolina,manual,tela,blanco,141890,,3300
819,suzuki,swift dzire,2020-01-01,sedan,4x2,gasolina,automatica,tela,blanco,61280,,8990
820,geely,coolray,2023-01-01,suv,4x2,gasolina,automatica,cuero,gris,25000,,19200
821,audi,q5,2012-01-01,suv,4x2,gasolina,automatica,cuerro,gris,154000,,6500
822,toyota,corolla se,2019-01-01,sedan,4x2,gasolina,automatica,cuero,azul marino,78000,95.0,17500
823,nissan,navara,2015-01-01,pickup,4x4,diesel,automatica,cuero,gris plata,360000,,14000
824,hyundai,i20-active,2017-01-01,suv,4x2,gasolina,manual,algodon,gris raton,114000,,7500
825,nissan,x-trail,2013-01-01,suv,4x2,gasolina,automatica,tela,negro,190000,,6500
826,kia,rio,2016-01-01,sedan,4x2,gasolina,automatica,tela,gris,96000,,6900
827,kia,rio,2018-01-01,sedan,4x2,gasolina,automatica,tela,azul,120000,,8999
828,kia,cerato,2015-01-01,sedan,4x2,gasolina,automatica,tela,negro,170000,,7700
829,bmw,218i gran coupi¿½,2020-01-01,coupe,4x2,gasolina,automatica,cuero,blanco,42000,,22000
830,honda,civic,2016-01-01,sedan,4x2,gasolina,automatica,tela,crema,140000,,9999
831,mini,cooper,2020-01-01,hatchback,4x2,gasolina,automatica,cuero suave,negro,30500,,19250
832,mercedes-benz,-benz -benz amg gle 63s coupe,2016-01-01,suv,4x4,gasolina,automatica,cuero,gris,48000,92.0,85000
833,subaru,xv,2017-01-01,suv,4x4,gasolina,automatica,cuero,azul,69000,,13300
834,suzuki,ciaz,2020-01-01,sedan,4x2,gasolina,automatica,tela,gris,85000,,8500
835,hyundai,tucson,2016-01-01,pickup,4x2,gasolina,automatica,tela,gris,65000,,10500
836,tesla,model x,2022-01-01,suv,4x4,electrico,automatica,cuero,midnight silver metallic,6200,95.0,89000
837,nissan,x-trail,2023-01-01,suv,4x2,gasolina,automatica,tela,plateado,43000,,26500
838,renault,captur,2018-01-01,suv,4x2,gasolina,automatica,tela,blanco,98200,,6900
839,bmw,318i,2017-01-01,sedan,4x2,gasolina,automatica,cuero,gris,75000,,13900
840,tesla,model 3,2018-01-01,sedan,4x4,electrico,automatica,cuero vegano,red multi-coat,44000,93.0,55000
841,honda,crv,2021-01-01,suv,4x2,gasolina,automatica,tela,rojo,72000,,23100
842,audi,q3,2012-01-01,suv,4x4,gasolina,automatica,cuero,gris,69602,,8300
843,hyundai,accent,2016-01-01,sedan,4x2,gasolina,manual,tela,plateado,107413,,6800
844,toyota,corolla,2021-01-01,sedan,4x2,gasolina,automatica,tela,rojo,52000,,16500
845,nissan,x-trail,2015-01-01,suv,4x2,gasolina,automatica,asientos de tela con forros de cuerinq,negro,114169,,8500
846,mazda,cx-9,2016-01-01,suv,4x4,gasolina,automatica,cuero,gris plateado,94918,,12950
847,hyundai,tucson gls,2022-01-01,suv,4x2,gasolina,automatica,cuero,bronze,49000,,28000
848,toyota,land cruiser,2023-01-01,suv,4x4,diesel,manual,cuero,gris,3417,100.0,70000
849,nissan,rogue,2015-01-01,suv,4x2,gasolina,automatica,tela,plateado,150000,,8500
850,acura,tlx,2016-01-01,sedan,4x2,gasolina,automatica,cuero,gris,38111,,17500
851,mercedes-benz,-benz gle 400,2016-01-01,suv,4x4,gasolina,automatica,cuero,blanco,67000,,20000
852,hyundai,grand i10,2020-01-01,sedan,4x2,gasolina,automatica,tela,gris raton,45000,,10000
853,bmw,650i,2012-01-01,convertible,4x2,gasolina,automatica,cuero,negro con interior chocolate cinnamon,52000,,15000
854,mercedes-benz,glc 200,2020-01-01,suv,4x2,gasolina,automatica,cuero,negro,48000,,34000
855,toyota,land cruiser prado,2012-01-01,suv,4x2,gasolina,automatica,cuero,blanco,120000,,22500
856,hyundai,eon,2019-01-01,hatchback,4x2,gasolina,manual,tela,amarillo,294000,,5000
857,honda,civic,2013-01-01,coupe,4x2,gasolina,manual,tela,rojo,87500,,9000
858,hyundai,accent,2010-01-01,sedan,4x2,gasolina,manual,tela,blanco,141890,,3300
859,suzuki,swift dzire,2020-01-01,sedan,4x2,gasolina,automatica,tela,blanco,61280,,8990
860,geely,coolray,2023-01-01,suv,4x2,gasolina,automatica,cuero,gris,25000,,19200
861,subaru,outback,2018-01-01,wagon,4x4,gasolina,automatica,cuero,negro,95000,,18500
862,audi,q5,2012-01-01,suv,4x2,gasolina,automatica,cuerro,gris,154000,,6500
863,toyota,corolla se,2019-01-01,sedan,4x2,gasolina,automatica,cuero,azul marino,78000,95.0,17500
864,nissan,navara,2015-01-01,pickup,4x4,diesel,automatica,cuero,gris plata,360000,,14000
865,hyundai,i20-active,2017-01-01,suv,4x2,gasolina,manual,algodon,gris raton,114000,,7500
866,nissan,x-trail,2013-01-01,suv,4x2,gasolina,automatica,tela,negro,190000,,6500
867,kia,rio,2016-01-01,sedan,4x2,gasolina,automatica,tela,gris,96000,,6900
868,kia,rio,2018-01-01,sedan,4x2,gasolina,automatica,tela,azul,120000,,8999
869,kia,cerato,2015-01-01,sedan,4x2,gasolina,automatica,tela,negro,170000,,7700
870,bmw,218i gran coupi¿½,2020-01-01,coupe,4x2,gasolina,automatica,cuero,blanco,42000,,22000
871,honda,civic,2016-01-01,sedan,4x2,gasolina,automatica,tela,crema,140000,,9999
872,mini,cooper,2020-01-01,hatchback,4x2,gasolina,automatica,cuero suave,negro,30500,,19250
873,mercedes-benz,-benz -benz amg gle 63s coupe,2016-01-01,suv,4x4,gasolina,automatica,cuero,gris,48000,92.0,85000
874,subaru,xv,2017-01-01,suv,4x4,gasolina,automatica,cuero,azul,69000,,13300
875,suzuki,ciaz,2020-01-01,sedan,4x2,gasolina,automatica,tela,gris,85000,,8500
876,hyundai,tucson,2016-01-01,pickup,4x2,gasolina,automatica,tela,gris,65000,,10500
877,tesla,model x,2022-01-01,suv,4x4,electrico,automatica,cuero,midnight silver metallic,6200,95.0,89000
878,nissan,x-trail,2023-01-01,suv,4x2,gasolina,automatica,tela,plateado,43000,,26500
879,renault,captur,2018-01-01,suv,4x2,gasolina,automatica,tela,blanco,98200,,6900
880,bmw,318i,2017-01-01,sedan,4x2,gasolina,automatica,cuero,gris,75000,,13900
881,tesla,model 3,2018-01-01,sedan,4x4,electrico,automatica,cuero vegano,red multi-coat,44000,93.0,55000
882,honda,crv,2021-01-01,suv,4x2,gasolina,automatica,tela,rojo,72000,,23100
883,audi,q3,2012-01-01,suv,4x4,gasolina,automatica,cuero,gris,69602,,8300
884,hyundai,accent,2016-01-01,sedan,4x2,gasolina,manual,tela,plateado,107413,,6800
885,toyota,corolla,2021-01-01,sedan,4x2,gasolina,automatica,tela,rojo,52000,,16500
886,nissan,x-trail,2015-01-01,suv,4x2,gasolina,automatica,asientos de tela con forros de cuerinq,negro,114169,,8500
887,mazda,cx-9,2016-01-01,suv,4x4,gasolina,automatica,cuero,gris plateado,94918,,12950
888,hyundai,tucson gls,2022-01-01,suv,4x2,gasolina,automatica,cuero,bronze,49000,,28000
889,toyota,land cruiser,2023-01-01,suv,4x4,diesel,manual,cuero,gris,3417,100.0,70000
890,nissan,rogue,2015-01-01,suv,4x2,gasolina,automatica,tela,plateado,150000,,8500
891,acura,tlx,2016-01-01,sedan,4x2,gasolina,automatica,cuero,gris,38111,,17500
892,mercedes-benz,-benz gle 400,2016-01-01,suv,4x4,gasolina,automatica,cuero,blanco,67000,,20000
893,hyundai,grand i10,2020-01-01,sedan,4x2,gasolina,automatica,tela,gris raton,45000,,10000
894,bmw,650i,2012-01-01,convertible,4x2,gasolina,automatica,cuero,negro con interior chocolate cinnamon,52000,,15000
895,mercedes-benz,glc 200,2020-01-01,suv,4x2,gasolina,automatica,cuero,negro,48000,,34000
896,toyota,land cruiser prado,2012-01-01,suv,4x2,gasolina,automatica,cuero,blanco,120000,,22500
897,hyundai,eon,2019-01-01,hatchback,4x2,gasolina,manual,tela,amarillo,294000,,5000
898,honda,civic,2013-01-01,coupe,4x2,gasolina,manual,tela,rojo,87500,,9000
899,hyundai,accent,2010-01-01,sedan,4x2,gasolina,manual,tela,blanco,141890,,3300
900,suzuki,swift dzire,2020-01-01,sedan,4x2,gasolina,automatica,tela,blanco,61280,,8990
901,geely,coolray,2023-01-01,suv,4x2,gasolina,automatica,cuero,gris,25000,,19200
902,subaru,outback,2018-01-01,wagon,4x4,gasolina,automatica,cuero,negro,95000,,18500
903,kia,k2700,2015-01-01,pickup,4x4,diesel,manual,tela,blanco,205627,,8500
904,audi,q5,2012-01-01,suv,4x2,gasolina,automatica,cuerro,gris,154000,,6500
905,toyota,corolla se,2019-01-01,sedan,4x2,gasolina,automatica,cuero,azul marino,78000,95.0,17500
906,nissan,navara,2015-01-01,pickup,4x4,diesel,automatica,cuero,gris plata,360000,,14000
907,hyundai,i20-active,2017-01-01,suv,4x2,gasolina,manual,algodon,gris raton,114000,,7500
908,nissan,x-trail,2013-01-01,suv,4x2,gasolina,automatica,tela,negro,190000,,6500
909,kia,rio,2016-01-01,sedan,4x2,gasolina,automatica,tela,gris,96000,,6900
910,kia,rio,2018-01-01,sedan,4x2,gasolina,automatica,tela,azul,120000,,8999
911,kia,cerato,2015-01-01,sedan,4x2,gasolina,automatica,tela,negro,170000,,7700
912,bmw,218i gran coupi¿½,2020-01-01,coupe,4x2,gasolina,automatica,cuero,blanco,42000,,22000
913,honda,civic,2016-01-01,sedan,4x2,gasolina,automatica,tela,crema,140000,,9999
914,mini,cooper,2020-01-01,hatchback,4x2,gasolina,automatica,cuero suave,negro,30500,,19250
915,mercedes-benz,-benz -benz amg gle 63s coupe,2016-01-01,suv,4x4,gasolina,automatica,cuero,gris,48000,92.0,85000
916,subaru,xv,2017-01-01,suv,4x4,gasolina,automatica,cuero,azul,69000,,13300
917,suzuki,ciaz,2020-01-01,sedan,4x2,gasolina,automatica,tela,gris,85000,,8500
918,hyundai,tucson,2016-01-01,pickup,4x2,gasolina,automatica,tela,gris,65000,,10500
919,tesla,model x,2022-01-01,suv,4x4,electrico,automatica,cuero,midnight silver metallic,6200,95.0,89000
920,nissan,x-trail,2023-01-01,suv,4x2,gasolina,automatica,tela,plateado,43000,,26500
921,renault,captur,2018-01-01,suv,4x2,gasolina,automatica,tela,blanco,98200,,6900
922,bmw,318i,2017-01-01,sedan,4x2,gasolina,automatica,cuero,gris,75000,,13900
923,tesla,model 3,2018-01-01,sedan,4x4,electrico,automatica,cuero vegano,red multi-coat,44000,93.0,55000
924,honda,crv,2021-01-01,suv,4x2,gasolina,automatica,tela,rojo,72000,,23100
925,audi,q3,2012-01-01,suv,4x4,gasolina,automatica,cuero,gris,69602,,8300
926,hyundai,accent,2016-01-01,sedan,4x2,gasolina,manual,tela,plateado,107413,,6800
927,toyota,corolla,2021-01-01,sedan,4x2,gasolina,automatica,tela,rojo,52000,,16500
928,nissan,x-trail,2015-01-01,suv,4x2,gasolina,automatica,asientos de tela con forros de cuerinq,negro,114169,,8500
929,mazda,cx-9,2016-01-01,suv,4x4,gasolina,automatica,cuero,gris plateado,94918,,12950
930,hyundai,tucson gls,2022-01-01,suv,4x2,gasolina,automatica,cuero,bronze,49000,,28000
931,toyota,land cruiser,2023-01-01,suv,4x4,diesel,manual,cuero,gris,3417,100.0,70000
932,nissan,rogue,2015-01-01,suv,4x2,gasolina,automatica,tela,plateado,150000,,8500
933,acura,tlx,2016-01-01,sedan,4x2,gasolina,automatica,cuero,gris,38111,,17500
934,mercedes-benz,-benz gle 400,2016-01-01,suv,4x4,gasolina,automatica,cuero,blanco,67000,,20000
935,hyundai,grand i10,2020-01-01,sedan,4x2,gasolina,automatica,tela,gris raton,45000,,10000
936,bmw,650i,2012-01-01,convertible,4x2,gasolina,automatica,cuero,negro con interior chocolate cinnamon,52000,,15000
937,mercedes-benz,glc 200,2020-01-01,suv,4x2,gasolina,automatica,cuero,negro,48000,,34000
938,toyota,land cruiser prado,2012-01-01,suv,4x2,gasolina,automatica,cuero,blanco,120000,,22500
939,hyundai,eon,2019-01-01,hatchback,4x2,gasolina,manual,tela,amarillo,294000,,5000
940,honda,civic,2013-01-01,coupe,4x2,gasolina,manual,tela,rojo,87500,,9000
941,hyundai,accent,2010-01-01,sedan,4x2,gasolina,manual,tela,blanco,141890,,3300
942,suzuki,swift dzire,2020-01-01,sedan,4x2,gasolina,automatica,tela,blanco,61280,,8990
943,geely,coolray,2023-01-01,suv,4x2,gasolina,automatica,cuero,gris,25000,,19200
944,subaru,outback,2018-01-01,wagon,4x4,gasolina,automatica,cuero,negro,95000,,18500
945,kia,k2700,2015-01-01,pickup,4x4,diesel,manual,tela,blanco,205627,,8500
946,lincoln,aviator,2005-01-01,suv,4x4,gasolina,automatica,cuero,gris,246000,,4000
947,audi,q5,2012-01-01,suv,4x2,gasolina,automatica,cuerro,gris,154000,,6500
948,toyota,corolla se,2019-01-01,sedan,4x2,gasolina,automatica,cuero,azul marino,78000,95.0,17500
949,nissan,navara,2015-01-01,pickup,4x4,diesel,automatica,cuero,gris plata,360000,,14000
950,hyundai,i20-active,2017-01-01,suv,4x2,gasolina,manual,algodon,gris raton,114000,,7500
951,nissan,x-trail,2013-01-01,suv,4x2,gasolina,automatica,tela,negro,190000,,6500
952,kia,rio,2016-01-01,sedan,4x2,gasolina,automatica,tela,gris,96000,,6900
953,kia,rio,2018-01-01,sedan,4x2,gasolina,automatica,tela,azul,120000,,8999
954,kia,cerato,2015-01-01,sedan,4x2,gasolina,automatica,tela,negro,170000,,7700
955,bmw,218i gran coupi¿½,2020-01-01,coupe,4x2,gasolina,automatica,cuero,blanco,42000,,22000
956,honda,civic,2016-01-01,sedan,4x2,gasolina,automatica,tela,crema,140000,,9999
957,mini,cooper,2020-01-01,hatchback,4x2,gasolina,automatica,cuero suave,negro,30500,,19250
958,mercedes-benz,-benz -benz amg gle 63s coupe,2016-01-01,suv,4x4,gasolina,automatica,cuero,gris,48000,92.0,85000
959,subaru,xv,2017-01-01,suv,4x4,gasolina,automatica,cuero,azul,69000,,13300
960,suzuki,ciaz,2020-01-01,sedan,4x2,gasolina,automatica,tela,gris,85000,,8500
961,hyundai,tucson,2016-01-01,pickup,4x2,gasolina,automatica,tela,gris,65000,,10500
962,tesla,model x,2022-01-01,suv,4x4,electrico,automatica,cuero,midnight silver metallic,6200,95.0,89000
963,nissan,x-trail,2023-01-01,suv,4x2,gasolina,automatica,tela,plateado,43000,,26500
964,renault,captur,2018-01-01,suv,4x2,gasolina,automatica,tela,blanco,98200,,6900
965,bmw,318i,2017-01-01,sedan,4x2,gasolina,automatica,cuero,gris,75000,,13900
966,tesla,model 3,2018-01-01,sedan,4x4,electrico,automatica,cuero vegano,red multi-coat,44000,93.0,55000
967,honda,crv,2021-01-01,suv,4x2,gasolina,automatica,tela,rojo,72000,,23100
968,audi,q3,2012-01-01,suv,4x4,gasolina,automatica,cuero,gris,69602,,8300
969,hyundai,accent,2016-01-01,sedan,4x2,gasolina,manual,tela,plateado,107413,,6800
970,toyota,corolla,2021-01-01,sedan,4x2,gasolina,automatica,tela,rojo,52000,,16500
971,nissan,x-trail,2015-01-01,suv,4x2,gasolina,automatica,asientos de tela con forros de cuerinq,negro,114169,,8500
972,mazda,cx-9,2016-01-01,suv,4x4,gasolina,automatica,cuero,gris plateado,94918,,12950
973,hyundai,tucson gls,2022-01-01,suv,4x2,gasolina,automatica,cuero,bronze,49000,,28000
974,toyota,land cruiser,2023-01-01,suv,4x4,diesel,manual,cuero,gris,3417,100.0,70000
975,nissan,rogue,2015-01-01,suv,4x2,gasolina,automatica,tela,plateado,150000,,8500
976,acura,tlx,2016-01-01,sedan,4x2,gasolina,automatica,cuero,gris,38111,,17500
977,mercedes-benz,-benz gle 400,2016-01-01,suv,4x4,gasolina,automatica,cuero,blanco,67000,,20000
978,hyundai,grand i10,2020-01-01,sedan,4x2,gasolina,automatica,tela,gris raton,45000,,10000
979,bmw,650i,2012-01-01,convertible,4x2,gasolina,automatica,cuero,negro con interior chocolate cinnamon,52000,,15000
980,mercedes-benz,glc 200,2020-01-01,suv,4x2,gasolina,automatica,cuero,negro,48000,,34000
981,toyota,land cruiser prado,2012-01-01,suv,4x2,gasolina,automatica,cuero,blanco,120000,,22500
982,hyundai,eon,2019-01-01,hatchback,4x2,gasolina,manual,tela,amarillo,294000,,5000
983,honda,civic,2013-01-01,coupe,4x2,gasolina,manual,tela,rojo,87500,,9000
984,hyundai,accent,2010-01-01,sedan,4x2,gasolina,manual,tela,blanco,141890,,3300
985,suzuki,swift dzire,2020-01-01,sedan,4x2,gasolina,automatica,tela,blanco,61280,,8990
986,geely,coolray,2023-01-01,suv,4x2,gasolina,automatica,cuero,gris,25000,,19200
987,subaru,outback,2018-01-01,wagon,4x4,gasolina,automatica,cuero,negro,95000,,18500
988,kia,k2700,2015-01-01,pickup,4x4,diesel,manual,tela,blanco,205627,,8500
989,lincoln,aviator,2005-01-01,suv,4x4,gasolina,automatica,cuero,gris,246000,,4000
990,honda,crv,2019-01-01,suv,4x2,gasolina,automatica,tela,negros,141000,,17500
991,audi,q5,2012-01-01,suv,4x2,gasolina,automatica,cuerro,gris,154000,,6500
992,toyota,corolla se,2019-01-01,sedan,4x2,gasolina,automatica,cuero,azul marino,78000,95.0,17500
993,nissan,navara,2015-01-01,pickup,4x4,diesel,automatica,cuero,gris plata,360000,,14000
994,hyundai,i20-active,2017-01-01,suv,4x2,gasolina,manual,algodon,gris raton,114000,,7500
995,nissan,x-trail,2013-01-01,suv,4x2,gasolina,automatica,tela,negro,190000,,6500
996,kia,rio,2016-01-01,sedan,4x2,gasolina,automatica,tela,gris,96000,,6900
997,kia,rio,2018-01-01,sedan,4x2,gasolina,automatica,tela,azul,120000,,8999
998,kia,cerato,2015-01-01,sedan,4x2,gasolina,automatica,tela,negro,170000,,7700
999,bmw,218i gran coupi¿½,2020-01-01,coupe,4x2,gasolina,automatica,cuero,blanco,42000,,22000
1000,honda,civic,2016-01-01,sedan,4x2,gasolina,automatica,tela,crema,140000,,9999
1001,mini,cooper,2020-01-01,hatchback,4x2,gasolina,automatica,cuero suave,negro,30500,,19250
1002,mercedes-benz,-benz -benz amg gle 63s coupe,2016-01-01,suv,4x4,gasolina,automatica,cuero,gris,48000,92.0,85000
1003,subaru,xv,2017-01-01,suv,4x4,gasolina,automatica,cuero,azul,69000,,13300
1004,suzuki,ciaz,2020-01-01,sedan,4x2,gasolina,automatica,tela,gris,85000,,8500
1005,hyundai,tucson,2016-01-01,pickup,4x2,gasolina,automatica,tela,gris,65000,,10500
1006,tesla,model x,2022-01-01,suv,4x4,electrico,automatica,cuero,midnight silver metallic,6200,95.0,89000
1007,nissan,x-trail,2023-01-01,suv,4x2,gasolina,automatica,tela,plateado,43000,,26500
1008,renault,captur,2018-01-01,suv,4x2,gasolina,automatica,tela,blanco,98200,,6900
1009,bmw,318i,2017-01-01,sedan,4x2,gasolina,automatica,cuero,gris,75000,,13900
1010,tesla,model 3,2018-01-01,sedan,4x4,electrico,automatica,cuero vegano,red multi-coat,44000,93.0,55000
1011,honda,crv,2021-01-01,suv,4x2,gasolina,automatica,tela,rojo,72000,,23100
1012,audi,q3,2012-01-01,suv,4x4,gasolina,automatica,cuero,gris,69602,,8300
1013,hyundai,accent,2016-01-01,sedan,4x2,gasolina,manual,tela,plateado,107413,,6800
1014,toyota,corolla,2021-01-01,sedan,4x2,gasolina,automatica,tela,rojo,52000,,16500
1015,nissan,x-trail,2015-01-01,suv,4x2,gasolina,automatica,asientos de tela con forros de cuerinq,negro,114169,,8500
1016,mazda,cx-9,2016-01-01,suv,4x4,gasolina,automatica,cuero,gris plateado,94918,,12950
1017,hyundai,tucson gls,2022-01-01,suv,4x2,gasolina,automatica,cuero,bronze,49000,,28000
1018,toyota,land cruiser,2023-01-01,suv,4x4,diesel,manual,cuero,gris,3417,100.0,70000
1019,nissan,rogue,2015-01-01,suv,4x2,gasolina,automatica,tela,plateado,150000,,8500
1020,acura,tlx,2016-01-01,sedan,4x2,gasolina,automatica,cuero,gris,38111,,17500
1021,mercedes-benz,-benz gle 400,2016-01-01,suv,4x4,gasolina,automatica,cuero,blanco,67000,,20000
1022,hyundai,grand i10,2020-01-01,sedan,4x2,gasolina,automatica,tela,gris raton,45000,,10000
1023,bmw,650i,2012-01-01,convertible,4x2,gasolina,automatica,cuero,negro con interior chocolate cinnamon,52000,,15000
1024,mercedes-benz,glc 200,2020-01-01,suv,4x2,gasolina,automatica,cuero,negro,48000,,34000
1025,toyota,land cruiser prado,2012-01-01,suv,4x2,gasolina,automatica,cuero,blanco,120000,,22500
1026,hyundai,eon,2019-01-01,hatchback,4x2,gasolina,manual,tela,amarillo,294000,,5000
1027,honda,civic,2013-01-01,coupe,4x2,gasolina,manual,tela,rojo,87500,,9000
1028,hyundai,accent,2010-01-01,sedan,4x2,gasolina,manual,tela,blanco,141890,,3300
1029,suzuki,swift dzire,2020-01-01,sedan,4x2,gasolina,automatica,tela,blanco,61280,,8990
1030,geely,coolray,2023-01-01,suv,4x2,gasolina,automatica,cuero,gris,25000,,19200
1031,subaru,outback,2018-01-01,wagon,4x4,gasolina,automatica,cuero,negro,95000,,18500
1032,kia,k2700,2015-01-01,pickup,4x4,diesel,manual,tela,blanco,205627,,8500
1033,lincoln,aviator,2005-01-01,suv,4x4,gasolina,automatica,cuero,gris,246000,,4000
1034,honda,crv,2019-01-01,suv,4x2,gasolina,automatica,tela,negros,141000,,17500
1035,kia,sportage gt line,2018-01-01,suv,4x2,gasolina,automatica,cuero,negro,77000,,14900
1036,audi,q5,2012-01-01,suv,4x2,gasolina,automatica,cuerro,gris,154000,,6500
1037,toyota,corolla se,2019-01-01,sedan,4x2,gasolina,automatica,cuero,azul marino,78000,95.0,17500
1038,nissan,navara,2015-01-01,pickup,4x4,diesel,automatica,cuero,gris plata,360000,,14000
1039,hyundai,i20-active,2017-01-01,suv,4x2,gasolina,manual,algodon,gris raton,114000,,7500
1040,nissan,x-trail,2013-01-01,suv,4x2,gasolina,automatica,tela,negro,190000,,6500
1041,kia,rio,2016-01-01,sedan,4x2,gasolina,automatica,tela,gris,96000,,6900
1042,kia,rio,2018-01-01,sedan,4x2,gasolina,automatica,tela,azul,120000,,8999
1043,kia,cerato,2015-01-01,sedan,4x2,gasolina,automatica,tela,negro,170000,,7700
1044,bmw,218i gran coupi¿½,2020-01-01,coupe,4x2,gasolina,automatica,cuero,blanco,42000,,22000
1045,honda,civic,2016-01-01,sedan,4x2,gasolina,automatica,tela,crema,140000,,9999
1046,mini,cooper,2020-01-01,hatchback,4x2,gasolina,automatica,cuero suave,negro,30500,,19250
1047,mercedes-benz,-benz -benz amg gle 63s coupe,2016-01-01,suv,4x4,gasolina,automatica,cuero,gris,48000,92.0,85000
1048,subaru,xv,2017-01-01,suv,4x4,gasolina,automatica,cuero,azul,69000,,13300
1049,suzuki,ciaz,2020-01-01,sedan,4x2,gasolina,automatica,tela,gris,85000,,8500
1050,hyundai,tucson,2016-01-01,pickup,4x2,gasolina,automatica,tela,gris,65000,,10500
1051,tesla,model x,2022-01-01,suv,4x4,electrico,automatica,cuero,midnight silver metallic,6200,95.0,89000
1052,nissan,x-trail,2023-01-01,suv,4x2,gasolina,automatica,tela,plateado,43000,,26500
1053,renault,captur,2018-01-01,suv,4x2,gasolina,automatica,tela,blanco,98200,,6900
1054,bmw,318i,2017-01-01,sedan,4x2,gasolina,automatica,cuero,gris,75000,,13900
1055,tesla,model 3,2018-01-01,sedan,4x4,electrico,automatica,cuero vegano,red multi-coat,44000,93.0,55000
1056,honda,crv,2021-01-01,suv,4x2,gasolina,automatica,tela,rojo,72000,,23100
