Marca,Modelo,Año,Motor,Transmision,Combustible,Asientos,KM,Precio
Jeep,Wrangler,2021,4 cilindros 2.0 turbo,Automática,Gas,¡Pregunta al anunciante!,40'000,"B/.44,500 (Rebajado 4%)"
Lexus,lx600,2023,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,17'000,"B/.147,500"
Chevrolet,Tahoe,2020,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,34'000,"B/.38,500"
Audi,Q5,2017,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,110'000,"B/.17,900 (Rebajado 3%)"
Suzuki,Grand Vitara,2014,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,92'000,"B/.9,995"
Nissan,Kicks,2020,¡Pregunta al anunciante!,Manual,Gasolina,¡Pregunta al anunciante!,85'000,"B/.10,995"
Mazda,CX-5,2024,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,936,"B/.22,995 (Rebajado 4%)"
Toyota,RAV4 Hybrid,2020,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,49'800,"B/.29,995 (Rebajado 3%)"
Land Rover,Range Rover Velar,2018,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,43'750,"B/.39,995 (Rebajado 11%)"
Toyota,Hilux,2022,¡Pregunta al anunciante!,Manual,Diesel,¡Pregunta al anunciante!,70'000,"B/.24,995 (Rebajado 4%)"
Hyundai,Tucson,2022,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,56'000,"B/.18,995 (Rebajado 5%)"
GMC,Yukon,2008,V8,Automática,Gasolina,7 Pasajeros,1,"B/.8,950 (Rebajado 6%)"
Audi,Q3,2018,4 CILINDRO TURBO,Automática,Gasolina,5 Pasajeros,80'000,"B/.14,900 (Rebajado 12%)"
Suzuki,SX4,2017,4 CILINDRO,Automática,Gasolina,5 Pasajeros,1,"B/.8,900"
Acura,MDX,2014,V6,Automática,Gasolina,5 Pasajeros,2,"B/.13,500"
Volkswagen,Jetta,2011,4 cilindro,Automática,Gasolina,5 Pasajeros,1,"B/.5,950 (Rebajado 14%)"
Infiniti,QX56,2006,V8,Automática,Gasolina,5 Pasajeros,1,"B/.6,900"
Porsche,Cayenne,2011,V6,Automática,Gasolina,5 Pasajeros,88'000,"B/.11,900 (Rebajado 14%)"
Jeep,Cherokee,2005,V6,Automática,Gasolina,5 Pasajeros,1,"B/.5,950 (Rebajado 14%)"
Ford,F-150,2012,V6 TURBO,Automática,Gasolina,5 Pasajeros,1,"B/.14,950 (Rebajado 6%)"
Lincoln,Navigator,2012,V8,Automática,Gasolina,7 Pasajeros,1,"B/.9,950 (Rebajado 23%)"
Nissan,Sentra,2015,4 CILINDRO,Automática,Gasolina,5 Pasajeros,1,"B/.5,900 (Rebajado 34%)"
Mercedes Benz,ML,2014,V6,Automática,Gasolina,5 Pasajeros,90'000,"B/.13,950 (Rebajado 6%)"
Jaguar,XE,2016,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,60'000,"B/.11,900 (Rebajado 5%)"
Aston Martin,V8 Vantage,2007,V8,Manual,Gasolina,2 Pasajeros,25'000,"B/.54,900"
BMW,X1,2024,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,11'651,"B/.42,995"
Nissan,X-Trail,2020,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,42'600,"B/.19,995"
Toyota,Corolla,2022,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,21'000,"B/.21,995"
Mercedes Benz,GLC-Class,2020,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,18'000,"B/.31,995"
Land Rover,Range Rover Sport,2020,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,45'900,"B/.67,900"
BMW,X3,2018,¡Pregunta al anunciante!,Automática,Gasolina,5 Pasajeros,54'000,"B/.29,900"
Toyota,Land Cruiser,2015,¡Pregunta al anunciante!,Automática,Diesel,¡Pregunta al anunciante!,140'000,"B/.48,000 (Rebajado 4%)"
Nissan,CIVILIAN,2015,¡Pregunta al anunciante!,Manual,Diesel,¡Pregunta al anunciante!,28'000,"B/.42,900"
Mercedes Benz,GLE-Class,2018,¡Pregunta al anunciante!,Automática,Diesel,¡Pregunta al anunciante!,45'000,"B/.23,900"
Honda,Odyssey,2015,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,168'000,"B/.10,500 (Rebajado 12%)"
Toyota,Prado,2022,2.8 TURBO DIESEL,Automática,Diesel,7 Pasajeros,19'800,"B/.52,988"
Ford,F-150,2021,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,41'000,"B/.37,995"
Toyota,Land Cruiser,2016,¡Pregunta al anunciante!,Automática,Diesel,¡Pregunta al anunciante!,148'000,"B/.60,999"
Mazda,CX-3,2021,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,64'000,"B/.15,500"
BMW,X5,2020,¡Pregunta al anunciante!,Automática,Diesel,¡Pregunta al anunciante!,41'000,"B/.49,995"
Honda,CR-V,2017,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,72'000,"B/.18,995 (Rebajado 3%)"
Mercedes Benz,CLS 53,2020,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,15'000,"B/.68,000"
Nissan,Frontier,2022,¡Pregunta al anunciante!,Manual,Diesel,¡Pregunta al anunciante!,1,"B/.17,999 (Rebajado 8%)"
Nissan,Kicks,2018,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,56'000,"B/.12,500 (Rebajado 3%)"
Porsche,911,2014,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,13'334,"B/.135,000"
Mitsubishi,Xpander,2022,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,15'142,"B/.16,900"
Nissan,Navara,2013,¡Pregunta al anunciante!,Manual,Diesel,¡Pregunta al anunciante!,146'427,"B/.11,900"
Mercedes Benz,GLC-Class Coupe,2017,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,53'000,"B/.24,995 (Rebajado 7%)"
Subaru,Forester,2018,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,120'000,"B/.12,500"
Nissan,Frontier,2022,¡Pregunta al anunciante!,Automática,Diesel,¡Pregunta al anunciante!,48'340,"B/.31,995 (Rebajado 6%)"
Toyota,Yaris,2021,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,79'000,"B/.12,995 (Rebajado 4%)"
Mazda,CX-5,2015,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,93'000,"B/.10,995 (Rebajado 8%)"
Mazda,CX-5,2019,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,52'000,"B/.15,995 (Rebajado 6%)"
Audi,A1,2013,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,39'341,"B/.9,999"
Mercedes Benz,GLC-Class,2017,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,53'000,"B/.19,900"
Honda,Civic,2022,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,15'385,"B/.20,995"
Hyundai,Kona,2022,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,74'906,"B/.15,995 (Rebajado 18%)"
Ford,EDGE,2021,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,65'000,"B/.20,995"
Audi,Q7,2016,¡Pregunta al anunciante!,Automática,Diesel,¡Pregunta al anunciante!,113'300,"B/.19,995 (Rebajado 26%)"
Audi,Q5,2017,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,101'000,"B/.13,900"
Mercedes Benz,GLE-Class,2018,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,67'000,"B/.29,900 (Rebajado 14%)"
MINI,Cooper Countryman,2019,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,30'000,"B/.17,900"
BMW,X3,2023,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,25'000,"B/.46,000 (Rebajado 8%)"
Land Rover,Range Rover Sport,2019,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,29'000,"B/.64,900 (Rebajado 19%)"
Lexus,RX 350,2013,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,68'000,"B/.13,900"
Nissan,Qashqai,2016,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,79'600,"B/.10,900 (Rebajado 8%)"
Kia,Rio,2022,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,76'000,"B/.11,995 (Rebajado 8%)"
Land Rover,Range Rover Evoque,2018,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,32'800,"B/.26,900"
Mercedes Benz,GLC-Class,2018,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,43'000,"B/.23,800"
Toyota,Prado,2022,¡Pregunta al anunciante!,Automática,Diesel,¡Pregunta al anunciante!,98'162,"B/.44,495 (Rebajado 4%)"
Kia,Sportage,2021,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,82'508,"B/.17,495 (Rebajado 8%)"
Kia,Sorento,2022,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,72'740,"B/.25,995 (Rebajado 2%)"
Nissan,X-Trail,2022,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,91'205,"B/.18,495 (Rebajado 10%)"
Toyota,Fortuner,2021,¡Pregunta al anunciante!,Automática,Diesel,¡Pregunta al anunciante!,102'605,"B/.35,995 (Rebajado 9%)"
Hyundai,Kona,2022,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,69'927,"B/.15,995 (Rebajado 18%)"
Nissan,Kicks,2022,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,74'372,"B/.15,995 (Rebajado 6%)"
Hyundai,Tucson,2022,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,91'021,"B/.19,495 (Rebajado 5%)"
Suzuki,Ciaz,2022,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,88'078,"B/.10,995 (Rebajado 15%)"
Porsche,Cayenne,2018,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,23'000,"B/.40,900 (Rebajado 2%)"
Mercedes Benz,GLC-Class,2017,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,39'000,"B/.21,900 (Rebajado 4%)"
MINI,Cooper Countryman,2019,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,63'000,"B/.15,900 (Rebajado 6%)"
Hyundai,Tucson,2022,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,91'021,"B/.19,495 (Rebajado 5%)"
BMW,X7,2020,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,40'000,"B/.75,000"
Honda,CR-V,2019,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,136'000,"B/.20,500 (Rebajado 3%)"
Toyota,Yaris,2023,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,6'000,"B/.17,500"
Lexus,RX,2018,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,77'000,"B/.34,900"
Lexus,UX 250h,2020,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,22'000,"B/.26,500"
Toyota,RAV4 Hybrid,2020,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,22'000,"B/.33,300"
Mercedes Benz,GLA-Class,2023,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,123,"B/.44,000"
Toyota,Sequoia,2024,3.5L Twin Turbo iForce MAX Hybrid,Automática,Híbrido,7 Pasajeros,8,"B/.98,900"
Toyota,Tacoma,2024,¡Pregunta al anunciante!,Automática,Gasolina,5 Pasajeros,8,"B/.58,900"
Toyota,Tundra,2024,3.4L Twin Turbo iFORCE Max,Automática,Híbrido,5 Pasajeros,10,"B/.95,900"
Ford,Bronco,2023,2 cilindros 2.7litros Turbo,Automática,Gasolina,4 Pasajeros,181,"B/.75,000"
Toyota,Corolla,2023,3 Cilindros Turbo,5+,Gasolina,5 Pasajeros,46,"B/.60,495"
Nissan,Z,2024,3.0 V6 doble turbo 400 HP,5+,Gasolina,2 Pasajeros,22,"B/.87,775"
Toyota,Tacoma,2023,V6 3.5 litros,Automática,Gasolina,5 Pasajeros,61,"B/.75,047"
BYD,Yuan Plus EV,2023,Electrico,Otros,Eléctrico,5 Pasajeros,10,"B/.41,950 (Rebajado 6%)"
Ford,F-150,2016,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,1,"B/.31,999"
Kia,Seltos,2022,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,62'000,"B/.17,899"
Ford,Edge,2013,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,1,"B/.9,499"
Hyundai,Creta,2018,¡Pregunta al anunciante!,Manual,Gasolina,¡Pregunta al anunciante!,1,"B/.9,799"
Kia,Sportage,2020,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,38'000,"B/.16,999"
Nissan,Kicks,2019,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,1,"B/.13,499"
Land Rover,Range Rover Sport,2015,¡Pregunta al anunciante!,Automática,Diesel,¡Pregunta al anunciante!,60'000,"B/.33,500"
Hyundai,Accent,2010,¡Pregunta al anunciante!,Manual,Gasolina,¡Pregunta al anunciante!,336'000,"B/.3,800"
Kia,Cerato,2013,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,170,"B/.5,499"
Suzuki,Ertiga,2021,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,71'900,"B/.13,900"
Ford,Bronco,2022,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,20'000,"B/.59,900"
Land Rover,Discovery,2018,¡Pregunta al anunciante!,Automática,Diesel,¡Pregunta al anunciante!,46'000,"B/.41,995 (Rebajado 26%)"
MINI,Cooper,2023,¡Pregunta al anunciante!,Automática,Eléctrico,¡Pregunta al anunciante!,4'900,"B/.32,500 (Rebajado 2%)"
BMW,X4,2017,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,68'000,"B/.19,995 (Rebajado 64%)"
Toyota,Prado,2014,¡Pregunta al anunciante!,Automática,Diesel,¡Pregunta al anunciante!,121,"B/.30,899"
Toyota,Prado,2018,¡Pregunta al anunciante!,Automática,Diesel,¡Pregunta al anunciante!,106'919,"B/.35,900"
Chevrolet,Trax,2017,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,130'000,"B/.10,500"
Kia,RIO,2024,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,27'746,"B/.12,998"
Kia,RIO,2023,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,19'971,"B/.13,498"
Kia,RIO,2024,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,34'675,"B/.12,298"
Toyota,Land Cruiser,2023,¡Pregunta al anunciante!,Manual,Diesel,¡Pregunta al anunciante!,11'626,"B/.34,998"
Suzuki,Jimny,2023,¡Pregunta al anunciante!,Manual,Gasolina,¡Pregunta al anunciante!,36'816,"B/.16,798"
Suzuki,Jimny,2023,¡Pregunta al anunciante!,Manual,Gasolina,¡Pregunta al anunciante!,29'901,"B/.17,398"
Hyundai,Creta,2023,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,32'000,"B/.16,598"
Nissan,X-Trail,2019,¡Pregunta al anunciante!,Automática,Gasolina,7 Pasajeros,50'000,"B/.15,000 (Rebajado 2%)"
Jeep,Wrangler,2023,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,16'371,"B/.67,900"
Lincoln,Navigator,2018,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,40'973,"B/.44,900"
BMW,X1,2017,2.0,Automática,Gasolina,5 Pasajeros,70'000,"B/.16,900"
Volkswagen,Atlas,2020,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,56'000,"B/.35,000"
Honda,CR-V,2009,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,89'000,"B/.5,995"
Volkswagen,Touareg 2,2014,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,93'600,"B/.13,900"
Hyundai,Active,2019,1.4,Automática,Gasolina,5 Pasajeros,84'676,"B/.9,995 (Rebajado 23%)"
Honda,HR-V,2016,1.8,Automática,Gasolina,5 Pasajeros,78'729,"B/.13,495"
Chevrolet,N400,2022,¡Pregunta al anunciante!,Manual,Gasolina,¡Pregunta al anunciante!,54'000,"B/.11,000"
Hyundai,Santa Fe,2022,"2,500cc",Automática,Gasolina,7 Pasajeros,23'711,"B/.26,000"
Suzuki,Dzire,2013,¡Pregunta al anunciante!,Manual,Gasolina,¡Pregunta al anunciante!,84'550,"B/.5,250"
Nissan,Qashqai,2011,¡Pregunta al anunciante!,Automática,Gasolina,5 Pasajeros,165'000,"B/.7,000"
Kia,Picanto,2023,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,21'600,"B/.11,900"
BMW,X3,2013,2.0,Automática,Gasolina,5 Pasajeros,106'413,"B/.11,650 (Rebajado 2%)"
Mazda,BT-50,2019,¡Pregunta al anunciante!,Automática,Diesel,¡Pregunta al anunciante!,58'299,"B/.19,900"
Toyota,Corolla,2023,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,18'500,"B/.20,500"
Honda,Odyssey,2013,¡Pregunta al anunciante!,Automática,Gasolina,7-10 Pasajeros,72'500,"B/.12,400"
Mitsubishi,Montero,2001,¡Pregunta al anunciante!,Automática,Diesel,¡Pregunta al anunciante!,199'108,"B/.3,000"
Fiat,Cronos,2021,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,20'000,"B/.8,000 (Rebajado 20%)"
Infiniti,Q50,2015,3.5,Automática,Gasolina,5 Pasajeros,95'000,"B/.13,500"
Ford,Explorer,2006,V6,Automática,Gasolina,7 Pasajeros,1,"B/.6,950 (Rebajado 13%)"
Ford,Explorer,2015,V6,Automática,Gasolina,7 Pasajeros,100'000,"B/.11,900"
Mercedes Benz,ML,2014,V6,Automática,Gasolina,5 Pasajeros,90'000,"B/.13,950 (Rebajado 6%)"
Nissan,Titan,2006,V8,Automática,Gasolina,5 Pasajeros,1,"B/.4,500 (Rebajado 59%)"
Mercedes Benz,GLA-Class,2019,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,73'061,"B/.18,999"
Honda,CR-V,2023,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,5'499,"B/.36,999 (Rebajado 5%)"
Toyota,Prado,2017,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,94'818,"B/.27,999"
Nissan,Frontier,2023,¡Pregunta al anunciante!,Manual,Diesel,¡Pregunta al anunciante!,22'442,"B/.27,500"
Kia,Picanto,2015,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,40'000,"B/.9,000"
Toyota,Yaris,2022,1.5,Automática,Gasolina,5 Pasajeros,50'000,"B/.13,800 (Rebajado 3%)"
Suzuki,Jimny,2022,1.5,Automática,Gasolina,4 Pasajeros,45'000,"B/.17,600"
Mazda,CX-9,2023,4CLY turbo,Automática,Gasolina,7 Pasajeros,20'635,"B/.33,995"
Ford,Explorer,2006,V6,Automática,Gasolina,7 Pasajeros,1,"B/.6,950 (Rebajado 13%)"
Nissan,Frontier,2017,¡Pregunta al anunciante!,Manual,Diesel,¡Pregunta al anunciante!,140'945,"B/.14,999"
Infiniti,Q50,2015,3.5,Automática,Gasolina,5 Pasajeros,95'000,"B/.13,500"
Ford,Explorer,2006,V6,Automática,Gasolina,7 Pasajeros,1,"B/.6,950 (Rebajado 13%)"
Ford,Explorer,2015,V6,Automática,Gasolina,7 Pasajeros,100'000,"B/.11,900"
Mercedes Benz,ML,2014,V6,Automática,Gasolina,5 Pasajeros,90'000,"B/.13,950 (Rebajado 6%)"
Nissan,Titan,2006,V8,Automática,Gasolina,5 Pasajeros,1,"B/.4,500 (Rebajado 59%)"
Nissan,X-Trail,2014,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,115'000,"B/.8,499 (Rebajado 15%)"
Toyota,Camry,2013,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,115'000,"B/.9,699"
Audi,Q5,2018,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,1,"B/.27,699 (Rebajado 16%)"
Hyundai,Accent,2024,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,3'000,"B/.15,799"
Chevrolet,Captiva,2022,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,47'000,"B/.17,499"
Toyota,Yaris,2018,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,1,"B/.11,899"
Suzuki,Vitara,2022,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,27'000,"B/.17,499"
Nissan,Qashqai,2016,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,82'000,"B/.10,799"
Ford,Eco Sport,2017,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,1,"B/.8,499"
Suzuki,Vitara,2020,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,1,"B/.12,799"
Ford,Explorer,2018,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,85'000,"B/.17,500"
Land Rover,Range Rover,2014,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,68'000,"B/.34,500"
Toyota,Yaris,2017,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,179'492,"B/.8,900"
Ford,Explorer,2006,V6,Automática,Gasolina,7 Pasajeros,1,"B/.6,950 (Rebajado 13%)"
Ford,Explorer,2015,V6,Automática,Gasolina,7 Pasajeros,100'000,"B/.11,900"
Nissan,Almera,2007,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,240'000,"B/.3,000 (Rebajado 6%)"
BMW,X1,2011,6 CILINDROS,Automática,Gasolina,5 Pasajeros,1,"B/.6,900 (Rebajado 31%)"
Audi,Q3,2018,4 CILINDRO TURBO,Automática,Gasolina,5 Pasajeros,80'000,"B/.14,900 (Rebajado 12%)"
Toyota,RAV4,2023,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,35'500,"B/.24,500 (Rebajado 8%)"
BMW,X1,2011,6 CILINDROS,Automática,Gasolina,5 Pasajeros,1,"B/.6,900 (Rebajado 31%)"
Audi,Q3,2018,4 CILINDRO TURBO,Automática,Gasolina,5 Pasajeros,80'000,"B/.14,900 (Rebajado 12%)"
Hyundai,Tucson,2008,4 CIlindro,Manual,Gasolina,5 Pasajeros,1,"B/.4,900 (Rebajado 29%)"
Acura,MDX,2014,V6,Automática,Gasolina,5 Pasajeros,2,"B/.13,500"
Kia,Sorento,2019,¡Pregunta al anunciante!,Automática,Gasolina,7 Pasajeros,117'700,"B/.14,995"
Mazda,CX-9,2016,V6,Automática,Gasolina,7 Pasajeros,1,"B/.10,900"
Ford,Explorer,2006,V6,Automática,Gasolina,7 Pasajeros,1,"B/.6,950 (Rebajado 13%)"
MG,3,2014,4 cilindro,Manual,Gasolina,4 Pasajeros,1,"B/.4,900 (Rebajado 1%)"
BMW,X1,2011,6 CILINDROS,Automática,Gasolina,5 Pasajeros,1,"B/.6,900 (Rebajado 31%)"
Audi,Q3,2018,4 CILINDRO TURBO,Automática,Gasolina,5 Pasajeros,80'000,"B/.14,900 (Rebajado 12%)"
Hyundai,Tucson,2008,4 CIlindro,Manual,Gasolina,5 Pasajeros,1,"B/.4,900 (Rebajado 29%)"
Acura,MDX,2014,V6,Automática,Gasolina,5 Pasajeros,2,"B/.13,500"
Kia,Sorento,2019,¡Pregunta al anunciante!,Automática,Gasolina,7 Pasajeros,117'700,"B/.14,995"
Mazda,CX-9,2016,V6,Automática,Gasolina,7 Pasajeros,1,"B/.10,900"
Ford,Explorer,2006,V6,Automática,Gasolina,7 Pasajeros,1,"B/.6,950 (Rebajado 13%)"
Ford,Explorer,2015,V6,Automática,Gasolina,7 Pasajeros,100'000,"B/.11,900"
Mercedes Benz,ML,2014,V6,Automática,Gasolina,5 Pasajeros,90'000,"B/.13,950 (Rebajado 6%)"
Nissan,Titan,2006,V8,Automática,Gasolina,5 Pasajeros,1,"B/.4,500 (Rebajado 59%)"
Mercedes Benz,GLA-Class,2019,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,73'061,"B/.18,999"
Toyota,Prado,2017,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,94'818,"B/.27,999"
Nissan,Frontier,2023,¡Pregunta al anunciante!,Manual,Diesel,¡Pregunta al anunciante!,22'442,"B/.27,500"
Honda,CR-V,2023,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,5'499,"B/.36,999 (Rebajado 5%)"
MG,3,2014,4 cilindro,Manual,Gasolina,4 Pasajeros,1,"B/.4,900 (Rebajado 1%)"
Ford,Mustang,2006,4 CILINDRO,Automática,Gasolina,4 Pasajeros,1,"B/.7,500 (Rebajado 16%)"
BMW,X1,2019,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,63'000,"B/.15,500 (Rebajado 8%)"
Toyota,Tundra,2016,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,34'850,B/.195.00
Toyota,Fortuner,2023,¡Pregunta al anunciante!,Automática,Diesel,7 Pasajeros,23'000,"B/.50,000"
BMW,316,2015,1.6,Automática,Gasolina,5 Pasajeros,37'000,"B/.15,000 (Rebajado 6%)"
Ford,Ranger,2013,¡Pregunta al anunciante!,Automática,Diesel,¡Pregunta al anunciante!,133'000,"B/.14,800"
Nissan,March,2016,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,85'000,"B/.5,900"
Toyota,Yaris,2008,¡Pregunta al anunciante!,Manual,Gasolina,¡Pregunta al anunciante!,155'000,"B/.4,500 (Rebajado 4%)"
Mazda,CX-05,2022,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,62'000,"B/.17,800"
Mazda,CX-9,2016,¡Pregunta al anunciante!,Automática,Gasolina,7 Pasajeros,115'000,"B/.13,000 (Rebajado 4%)"
Ford,Escape,2017,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,98'300,"B/.11,900 (Rebajado 5%)"
BMW,328,2012,¡Pregunta al anunciante!,Automática,Gas,¡Pregunta al anunciante!,60'000,"B/.11,800"
Mercedes Benz,GLA-Class,2016,¡Pregunta al anunciante!,Automática,Gasolina,¡Pregunta al anunciante!,123'393,"B/.18,999"
